Sr. No.,Lease Name,Area,Document Name,condition_type,shortened_condition_text,condition_text,Evidence,clause_number,Priority,AI Validated,Location,Type,Assigned by,Assigned to,Progress Status,create date,deadline date,completion date,approved date,validation date,closure date
11,Topailore,14.16,EC,Specific,Effectively implement all conditions from SPCB's NOC/CTE,All the conditions stipulated by the State Pollution Control Board in their NOC shall be effectively implemented.,pdf,5,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,10/9/2024,10/9/2024,10/25/2024,10/27/2024,10/27/2024,10/27/2024
12,Topailore,14.16,EC,Specific,Obtain EC,"Environmental clearance is subject to obtaining clearance under the Wildlife (Protection) Act, 1972 from the competent authority, as may be applicable to this project. The project proponent shall take all precautionary measures during mining operation for conservation and protection of endangered fauna.",pdf,6,4,0,Gua,Iron Ore Mine,Shreyas,test_user,Evidence Pending,4/6/2025,4/6/2025,5/10/2025,,12/31/2027,12/31/2027
13,Topailore,14.16,EC,Specific,Take precautionary measures for conservation of endangered fauna,"Environmental clearance is subject to obtaining clearance under the Wildlife (Protection) Act, 1972 from the competent authority, as may be applicable to this project. The project proponent shall take all precautionary measures during mining operation for conservation and protection of endangered fauna.","pdf,image",6,3,0,Gua,Iron Ore Mine,Shreyas,test_user,Approval Pending,9/19/2024,9/19/2024,10/12/2024,,12/31/2027,12/31/2027
14,Topailore,14.16,EC,Specific,Revalidate permission from Forest Dept for mineral transport,Necessary permission from the Forest Department for transportation of mineral through the forest road shall be revalidated before restarting mining operation.,pdf,7,2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,5/22/2025,5/22/2025,6/17/2025,6/18/2025,6/18/2025,6/18/2025
15,Topailore,14.16,EC,Specific,Restrict mining operations to above ground water table,"The mining operations shall be restricted to above ground water table and it should not intersect groundwater table. In case of working below the ground water table, prior approval of the Ground Water Directorate, Government of Jharkhand / Central Ground Water Board shall be obtained. Benches height and slope shall be maintained as per approved Mining Plan.",pdf,8,4,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,3/16/2024,3/16/2024,4/9/2024,4/10/2024,4/10/2024,4/10/2024
16,Topailore,14.16,EC,Specific,Operations should not intersect ground water table,"The mining operations shall be restricted to above ground water table and it should not intersect groundwater table. In case of working below the ground water table, prior approval of the Ground Water Directorate, Government of Jharkhand / Central Ground Water Board shall be obtained. Benches height and slope shall be maintained as per approved Mining Plan.","kml,pdf",8,4,0,Gua,Iron Ore Mine,Shreyas,test_user,Approval Pending,12/17/2024,12/17/2024,1/7/2025,,12/31/2027,12/31/2027
17,Topailore,14.16,EC,Specific,Obtain prior approval for working below ground water table (if required),"The mining operations shall be restricted to above ground water table and it should not intersect groundwater table. In case of working below the ground water table, prior approval of the Ground Water Directorate, Government of Jharkhand / Central Ground Water Board shall be obtained. Benches height and slope shall be maintained as per approved Mining Plan.",pdf,8,4,0,Gua,Iron Ore Mine,Shreyas,test_user,Approval Pending,12/11/2024,12/11/2024,12/26/2024,,12/31/2027,12/31/2027
18,Topailore,14.16,EC,Specific,Maintain the Benches height as per approved Mining Plan.,"The mining operations shall be restricted to above ground water table and it should not intersect groundwater table. In case of working below the ground water table, prior approval of the Ground Water Directorate, Government of Jharkhand / Central Ground Water Board shall be obtained. Benches height and slope shall be maintained as per approved Mining Plan.","image,pdf",8,2,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,4/14/2024,4/14/2024,4/24/2024,4/27/2024,4/27/2024,4/27/2024
19,Topailore,14.16,EC,Specific,Maintain the Bench slope as per approved Mining Plan.,"The mining operations shall be restricted to above ground water table and it should not intersect groundwater table. In case of working below the ground water table, prior approval of the Ground Water Directorate, Government of Jharkhand / Central Ground Water Board shall be obtained. Benches height and slope shall be maintained as per approved Mining Plan.","image,pdf",8,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,4/29/2024,4/29/2024,5/8/2024,5/11/2024,5/11/2024,5/11/2024
20,Topailore,14.16,EC,Specific,Ensure no natural watercourse is obstructed by mining operations,"The project proponent shall ensure that no natural watercourse shall be obstructed due to any mining operations. Adequate measures shall be taken for conservation and protection of the first order and the second order streams, if any emanating/passing through the mine lease area during the course of mining operation.","image,kml",9,4,0,Gua,Iron Ore Mine,Shreyas,test_user,Evidence Pending,4/10/2025,4/10/2025,5/14/2025,,12/31/2027,12/31/2027
21,Topailore,14.16,EC,Specific,Take measures for conservation of first and second order streams,"The project proponent shall ensure that no natural watercourse shall be obstructed due to any mining operations. Adequate measures shall be taken for conservation and protection of the first order and the second order streams, if any emanating/passing through the mine lease area during the course of mining operation.","image,pdf",9,3,0,Gua,Iron Ore Mine,Shreyas,test_user,Approval Pending,2/27/2025,2/27/2025,3/24/2025,,12/31/2027,12/31/2027
22,Topailore,14.16,EC,Specific,Stack top soil with proper slope at earmarked sites,Top soil should be stacked with proper slope at earmarked site(s) only with adequate measures and should be used for reclamation and rehabilitation of mined out areas.,image,10,2,0,Gua,Iron Ore Mine,Ankit,Shreyas,Evidence Pending,8/26/2025,8/26/2025,10/2/2025,,12/31/2027,12/31/2027
23,Topailore,14.16,EC,Specific,Use top soil for reclamation and rehabilitation of mined out areas,Top soil should be stacked with proper slope at earmarked site(s) only with adequate measures and should be used for reclamation and rehabilitation of mined out areas.,"image,pdf",10,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,10/3/2024,10/3/2024,10/12/2024,10/15/2024,10/15/2024,10/15/2024
24,Topailore,14.16,EC,Specific,Backfill entire waste generated,"The entire waste generated shall be backfilled and there shall be no external over burden dump left at the end of the mine life. The entire backfilled area shall be reclaimed by plantation. The back filling should be carried out in such a manner that it is restored to the normal ground level. Monitoring and management of rehabilitated areas should continue until the vegetation becomes self-sustaining. Compliance status should be submitted to Jharkhand State Pollution Control Board, Ranchi and its nearest Regional Office on six monthly basis.","pdf,image",11,3,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,8/24/2024,8/24/2024,9/14/2024,9/15/2024,9/15/2024,9/15/2024
25,Topailore,14.16,EC,Specific,Ensure no external over burden dump is left at end of mine life,"The entire waste generated shall be backfilled and there shall be no external over burden dump left at the end of the mine life. The entire backfilled area shall be reclaimed by plantation. The back filling should be carried out in such a manner that it is restored to the normal ground level. Monitoring and management of rehabilitated areas should continue until the vegetation becomes self-sustaining. Compliance status should be submitted to Jharkhand State Pollution Control Board, Ranchi and its nearest Regional Office on six monthly basis.","image,pdf",11,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,5/23/2025,5/23/2025,6/18/2025,6/20/2025,6/20/2025,6/20/2025
26,Topailore,14.16,EC,Specific,Reclaim entire backfilled area by plantation,"The entire waste generated shall be backfilled and there shall be no external over burden dump left at the end of the mine life. The entire backfilled area shall be reclaimed by plantation. The back filling should be carried out in such a manner that it is restored to the normal ground level. Monitoring and management of rehabilitated areas should continue until the vegetation becomes self-sustaining. Compliance status should be submitted to Jharkhand State Pollution Control Board, Ranchi and its nearest Regional Office on six monthly basis.","image,pdf",11,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,1/8/2025,1/8/2025,1/28/2025,1/30/2025,1/30/2025,1/30/2025
27,Topailore,14.16,EC,Specific,Restore backfilled area to normal ground level,"The entire waste generated shall be backfilled and there shall be no external over burden dump left at the end of the mine life. The entire backfilled area shall be reclaimed by plantation. The back filling should be carried out in such a manner that it is restored to the normal ground level. Monitoring and management of rehabilitated areas should continue until the vegetation becomes self-sustaining. Compliance status should be submitted to Jharkhand State Pollution Control Board, Ranchi and its nearest Regional Office on six monthly basis.","image,pdf",11,2,0,Gua,Iron Ore Mine,Shreyas,test_user,Approval Pending,12/24/2024,12/24/2024,1/9/2025,,12/31/2027,12/31/2027
28,Topailore,14.16,EC,Specific,Monitor and manage rehabilitated areas until vegetation is self-sustaining,"The entire waste generated shall be backfilled and there shall be no external over burden dump left at the end of the mine life. The entire backfilled area shall be reclaimed by plantation. The back filling should be carried out in such a manner that it is restored to the normal ground level. Monitoring and management of rehabilitated areas should continue until the vegetation becomes self-sustaining. Compliance status should be submitted to Jharkhand State Pollution Control Board, Ranchi and its nearest Regional Office on six monthly basis.","pdf,image",11,3,0,Gua,Iron Ore Mine,Ankit,Vinay,Evidence Pending,8/15/2025,8/15/2025,9/21/2025,,12/31/2027,12/31/2027
29,Topailore,14.16,EC,Specific,Submit six-monthly compliance status submission to JSPCB,"The entire waste generated shall be backfilled and there shall be no external over burden dump left at the end of the mine life. The entire backfilled area shall be reclaimed by plantation. The back filling should be carried out in such a manner that it is restored to the normal ground level. Monitoring and management of rehabilitated areas should continue until the vegetation becomes self-sustaining. Compliance status should be submitted to Jharkhand State Pollution Control Board, Ranchi and its nearest Regional Office on six monthly basis.",pdf,11,2,0,Gua,Iron Ore Mine,Shreyas,test_user,Approval Pending,2/17/2025,2/17/2025,3/9/2025,,12/31/2027,12/31/2027
30,Topailore,14.16,EC,Specific,Catch drains of appropriate size should be constructed for the working pit,"Catch drains and siltation ponds of appropriate size should be constructed for the working pit, temporary OB dumps, if any and mineral dumps to arrest flow of silt and sediment. The water so collected should be utilized for watering the mine area, roads, green belt development etc. The drains should be regularly desilted, particularly after monsoon, and maintained properly.",image,12,3,0,Gua,Iron Ore Mine,Ankit,Vinay,Evidence Pending,6/21/2025,6/21/2025,8/1/2025,,12/31/2027,12/31/2027
31,Topailore,14.16,EC,Specific,Siltation ponds of appropriate size should be constructed for the working pit,"Catch drains and siltation ponds of appropriate size should be constructed for the working pit, temporary OB dumps, if any and mineral dumps to arrest flow of silt and sediment. The water so collected should be utilized for watering the mine area, roads, green belt development etc. The drains should be regularly desilted, particularly after monsoon, and maintained properly.",image,12,3,0,Gua,Iron Ore Mine,Shreyas,test_user,Approval Pending,9/29/2024,9/29/2024,10/22/2024,,12/31/2027,12/31/2027
32,Topailore,14.16,EC,Specific,Catch drains of appropriate size should be constructed temporary OB dumps,"Catch drains and siltation ponds of appropriate size should be constructed for the working pit, temporary OB dumps, if any and mineral dumps to arrest flow of silt and sediment. The water so collected should be utilized for watering the mine area, roads, green belt development etc. The drains should be regularly desilted, particularly after monsoon, and maintained properly.",image,12,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,3/26/2025,3/26/2025,4/3/2025,4/5/2025,4/5/2025,4/5/2025
33,Topailore,14.16,EC,Specific,Siltation ponds of appropriate size should be constructed for the temporary OB dumps,"Catch drains and siltation ponds of appropriate size should be constructed for the working pit, temporary OB dumps, if any and mineral dumps to arrest flow of silt and sediment. The water so collected should be utilized for watering the mine area, roads, green belt development etc. The drains should be regularly desilted, particularly after monsoon, and maintained properly.",image,12,3,0,Gua,Iron Ore Mine,Shreyas,test_user,Approval Pending,2/1/2025,2/1/2025,2/14/2025,,12/31/2027,12/31/2027
34,Topailore,14.16,EC,Specific,Catch drains and siltation ponds of appropriate size should be constructed for the mineral dumps (if),"Catch drains and siltation ponds of appropriate size should be constructed for the working pit, temporary OB dumps, if any and mineral dumps to arrest flow of silt and sediment. The water so collected should be utilized for watering the mine area, roads, green belt development etc. The drains should be regularly desilted, particularly after monsoon, and maintained properly.",image,12,2,0,Gua,Iron Ore Mine,Ankit,Shreyas,Approval Pending,9/2/2024,9/2/2024,10/5/2024,,12/31/2027,12/31/2027
35,Topailore,14.16,EC,Specific,The water should be utilized for watering the mines road,"Catch drains and siltation ponds of appropriate size should be constructed for the working pit, temporary OB dumps, if any and mineral dumps to arrest flow of silt and sediment. The water so collected should be utilized for watering the mine area, roads, green belt development etc. The drains should be regularly desilted, particularly after monsoon, and maintained properly.",image,12,1,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,1/11/2025,1/11/2025,1/28/2025,1/31/2025,1/31/2025,1/31/2025
36,Topailore,14.16,EC,Specific,The water should be utilized for watering the greenbelt development area,"Catch drains and siltation ponds of appropriate size should be constructed for the working pit, temporary OB dumps, if any and mineral dumps to arrest flow of silt and sediment. The water so collected should be utilized for watering the mine area, roads, green belt development etc. The drains should be regularly desilted, particularly after monsoon, and maintained properly.",image,12,1,0,Gua,Iron Ore Mine,Shreyas,test_user,Evidence Pending,4/10/2025,4/10/2025,5/17/2025,,12/31/2027,12/31/2027
37,Topailore,14.16,EC,Specific,"The drains should be regularly desilted, particularly after monsoon","Catch drains and siltation ponds of appropriate size should be constructed for the working pit, temporary OB dumps, if any and mineral dumps to arrest flow of silt and sediment. The water so collected should be utilized for watering the mine area, roads, green belt development etc. The drains should be regularly desilted, particularly after monsoon, and maintained properly.","image,pdf",12,2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,1/4/2025,1/4/2025,1/28/2025,1/30/2025,1/30/2025,1/30/2025
38,Topailore,14.16,EC,Specific,Construct Garland drain for mine pit and temporary dumps,"Garland drain of appropriate size, gradient and length shall be constructed for both mine pit and temporary dumps and sump capacity should be designed keeping 50% safety margin over and above peak sudden rainfall (based on 50 years data) and maximum discharge in the area adjoining the mine site. Sump capacity should also provide adequate retention period to allow proper settling of silt material. Sedimentation pits should be constructed at the corners of the garland drains and desilted at regular intervals.",image,13,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,2/24/2025,2/24/2025,3/22/2025,3/23/2025,3/23/2025,3/23/2025
39,Topailore,14.16,EC,Specific,Design sump capacity with 50% safety margin over peak rainfall,"Garland drain of appropriate size, gradient and length shall be constructed for both mine pit and temporary dumps and sump capacity should be designed keeping 50% safety margin over and above peak sudden rainfall (based on 50 years data) and maximum discharge in the area adjoining the mine site. Sump capacity should also provide adequate retention period to allow proper settling of silt material. Sedimentation pits should be constructed at the corners of the garland drains and desilted at regular intervals.",pdf,13,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,9/25/2024,9/25/2024,10/21/2024,10/23/2024,10/23/2024,10/23/2024
40,Topailore,14.16,EC,Specific,Sump to provide adequate retention period for settling silt,"Garland drain of appropriate size, gradient and length shall be constructed for both mine pit and temporary dumps and sump capacity should be designed keeping 50% safety margin over and above peak sudden rainfall (based on 50 years data) and maximum discharge in the area adjoining the mine site. Sump capacity should also provide adequate retention period to allow proper settling of silt material. Sedimentation pits should be constructed at the corners of the garland drains and desilted at regular intervals.",pdf,13,2,0,Gua,Iron Ore Mine,Shreyas,test_user,Approval Pending,11/13/2024,11/13/2024,12/1/2024,,12/31/2027,12/31/2027
41,Topailore,14.16,EC,Specific,Construct sedimentation pits at garland drain corners,"Garland drain of appropriate size, gradient and length shall be constructed for both mine pit and temporary dumps and sump capacity should be designed keeping 50% safety margin over and above peak sudden rainfall (based on 50 years data) and maximum discharge in the area adjoining the mine site. Sump capacity should also provide adequate retention period to allow proper settling of silt material. Sedimentation pits should be constructed at the corners of the garland drains and desilted at regular intervals.",image,13,2,0,Gua,Iron Ore Mine,Shreyas,test_user,Evidence Pending,5/31/2025,5/31/2025,7/8/2025,,12/31/2027,12/31/2027
42,Topailore,14.16,EC,Specific,Desilt sedimentation pits at regular intervals,"Garland drain of appropriate size, gradient and length shall be constructed for both mine pit and temporary dumps and sump capacity should be designed keeping 50% safety margin over and above peak sudden rainfall (based on 50 years data) and maximum discharge in the area adjoining the mine site. Sump capacity should also provide adequate retention period to allow proper settling of silt material. Sedimentation pits should be constructed at the corners of the garland drains and desilted at regular intervals.","image,pdf",13,2,0,Gua,Iron Ore Mine,Ankit,Vinay,Approval Pending,9/9/2024,9/9/2024,10/7/2024,,12/31/2027,12/31/2027
43,Topailore,14.16,EC,Specific,Base retaining wall dimensions on rainfall data,Dimension of the retaining wall at the toe of temporary dumps and OB benches within the mine to check run-off and siltation should be based on the rain fall data.,pdf,14,2,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,9/13/2024,9/13/2024,9/30/2024,10/2/2024,10/2/2024,10/2/2024
44,Topailore,14.16,EC,Specific,Raise plantation in 7.5m wide green belt in safety zone,"Plantation shall be raised in the 7.5m wide green belt in the safety zone around the mining lease by planting the native species around ML area, backfilled and reclaimed area, around water body, roads etc. in consultation with the local DFO/Agriculture Department. Greenbelt shall be developed all along the mine lease area and haul roads. The Project proponent shall do tree plantation in at least 33% of the space, preferably along the periphery and in vacant space. Fast growing and local species will be planted. In case land is not available within the lease area or it is not possible to plant trees due to nature of land then PP will do necessary afforestation at other places/land.","image,kml",15,3,0,Gua,Iron Ore Mine,Vinay,Anshul,Approval Pending,2/7/2025,2/7/2025,3/12/2025,,12/31/2027,12/31/2027
45,Topailore,14.16,EC,Specific,Develop greenbelt along mine lease area and haul roads,"Plantation shall be raised in the 7.5m wide green belt in the safety zone around the mining lease by planting the native species around ML area, backfilled and reclaimed area, around water body, roads etc. in consultation with the local DFO/Agriculture Department. Greenbelt shall be developed all along the mine lease area and haul roads. The Project proponent shall do tree plantation in at least 33% of the space, preferably along the periphery and in vacant space. Fast growing and local species will be planted. In case land is not available within the lease area or it is not possible to plant trees due to nature of land then PP will do necessary afforestation at other places/land.","image,kml",15,2,0,Gua,Iron Ore Mine,Vinay,Anshul,Approval Pending,4/2/2025,4/2/2025,5/4/2025,,12/31/2027,12/31/2027
46,Topailore,14.16,EC,Specific,Do tree plantation in at least 33% of available space,"Plantation shall be raised in the 7.5m wide green belt in the safety zone around the mining lease by planting the native species around ML area, backfilled and reclaimed area, around water body, roads etc. in consultation with the local DFO/Agriculture Department. Greenbelt shall be developed all along the mine lease area and haul roads. The Project proponent shall do tree plantation in at least 33% of the space, preferably along the periphery and in vacant space. Fast growing and local species will be planted. In case land is not available within the lease area or it is not possible to plant trees due to nature of land then PP will do necessary afforestation at other places/land.","image,pdf",15,2,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,9/20/2024,9/20/2024,10/17/2024,10/19/2024,10/19/2024,10/19/2024
47,Topailore,14.16,EC,Specific,Carry out regular water sprinkling in critical areas,"Regular water sprinkling should be carried out in critical areas prone to air pollution and having high levels of SPM and RSPM such as haul road, loading and unloading point and transfer points. It should be ensured that the Ambient Air Quality parameters conform to the norms prescribed by the Central Pollution Control Board in this regard.",image,16,2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,12/24/2024,12/24/2024,1/3/2025,1/5/2025,1/5/2025,1/5/2025
48,Topailore,14.16,EC,Specific,Ensure ambient air quality conforms to CPCB norms,"Regular water sprinkling should be carried out in critical areas prone to air pollution and having high levels of SPM and RSPM such as haul road, loading and unloading point and transfer points. It should be ensured that the Ambient Air Quality parameters conform to the norms prescribed by the Central Pollution Control Board in this regard.",pdf,16,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,12/21/2024,12/21/2024,1/11/2025,1/13/2025,1/13/2025,1/13/2025
49,Topailore,14.16,EC,Specific,Implement suitable measures to augment ground water resources,"The project authority should implement suitable conservation measures to augment ground water resources in the area in consultation with the Ground Water Directorate, Government of Jharkhand / Central Ground Water Board/ Authority.","pdf,image",17,2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,2/22/2025,2/22/2025,3/6/2025,3/8/2025,3/8/2025,3/8/2025
50,Topailore,14.16,EC,Specific,Plan and implement suitable rainwater harvesting measures,"Suitable rainwater harvesting measures shall be planned and implemented in consultation with the Ground Water Directorate, Government of Jharkhand / Central Ground Water Board / Authority.","pdf,image",18,2,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,4/18/2024,4/18/2024,5/11/2024,5/12/2024,5/12/2024,5/12/2024
51,Topailore,14.16,EC,Specific,Keep vehicular emissions under control and regularly monitored,Vehicular emissions should be kept under control and regularly monitored. Measures shall be taken for maintenance of vehicles used in mining operations and in transportation of mineral. The vehicles should be covered with a tarpaulin and shall not be overloaded.,pdf,19,2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,4/26/2025,4/26/2025,5/10/2025,5/13/2025,5/13/2025,5/13/2025
52,Topailore,14.16,EC,Specific,Take measures for maintenance of vehicles,Vehicular emissions should be kept under control and regularly monitored. Measures shall be taken for maintenance of vehicles used in mining operations and in transportation of mineral. The vehicles should be covered with a tarpaulin and shall not be overloaded.,pdf,19,2,0,Gua,Iron Ore Mine,Ankit,Vinay,Approval Pending,4/12/2025,4/12/2025,4/30/2025,,12/31/2027,12/31/2027
53,Topailore,14.16,EC,Specific,Cover vehicles with a tarpaulin,Vehicular emissions should be kept under control and regularly monitored. Measures shall be taken for maintenance of vehicles used in mining operations and in transportation of mineral. The vehicles should be covered with a tarpaulin and shall not be overloaded.,image,19,1,0,Gua,Iron Ore Mine,Ankit,Vinay,Approval Pending,12/24/2024,12/24/2024,1/13/2025,,12/31/2027,12/31/2027
54,Topailore,14.16,EC,Specific,Vehicles shall not be overloaded,Vehicular emissions should be kept under control and regularly monitored. Measures shall be taken for maintenance of vehicles used in mining operations and in transportation of mineral. The vehicles should be covered with a tarpaulin and shall not be overloaded.,image,19,1,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,7/13/2024,7/13/2024,7/26/2024,7/27/2024,7/27/2024,7/27/2024
55,Topailore,14.16,EC,Specific,Carry out blasting only during daytime,Blasting operation should be carried out only during the daytime. Controlled blasting should be practiced. The mitigative measures for control of ground vibrations and to arrest fly rocks and boulders should be implemented.,pdf,20,3,0,Gua,Iron Ore Mine,Vinay,Anshul,Approval Pending,1/2/2025,1/2/2025,2/3/2025,,12/31/2027,12/31/2027
56,Topailore,14.16,EC,Specific,Practice controlled blasting,Blasting operation should be carried out only during the daytime. Controlled blasting should be practiced. The mitigative measures for control of ground vibrations and to arrest fly rocks and boulders should be implemented.,pdf,20,3,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,12/5/2024,12/5/2024,12/15/2024,12/16/2024,12/16/2024,12/16/2024
57,Topailore,14.16,EC,Specific,Implement mitigative measures for ground vibrations and fly rocks,Blasting operation should be carried out only during the daytime. Controlled blasting should be practiced. The mitigative measures for control of ground vibrations and to arrest fly rocks and boulders should be implemented.,"pdf,image",20,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,5/31/2024,5/31/2024,6/11/2024,6/13/2024,6/13/2024,6/13/2024
58,Topailore,14.16,EC,Specific,Operate drills with dust extractors or water injection system,Drills shall either be operated with dust extractors or equipped with water injection system.,image,21,2,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,12/13/2024,12/13/2024,1/5/2025,1/7/2025,1/7/2025,1/7/2025
59,Topailore,14.16,EC,Specific,Take effective safeguard measures to control fugitive emissions,Effective safeguard measures should be taken to control fugitive emissions so as to ensure that RSPM (PM10 and PM 2.5) levels are within prescribed limits.,"image,pdf",22,3,1,Gua,Iron Ore Mine,Ankit,Vinay,Approved,5/30/2025,5/30/2025,6/13/2025,6/14/2025,6/14/2025,6/14/2025
60,Topailore,14.16,EC,Specific,Ensure RSPM (PM10 and PM 2.5) levels are within prescribed limits,Effective safeguard measures should be taken to control fugitive emissions so as to ensure that RSPM (PM10 and PM 2.5) levels are within prescribed limits.,pdf,22,3,1,Gua,Iron Ore Mine,Ankit,Shreyas,Approved,7/17/2024,7/17/2024,8/9/2024,8/12/2024,8/12/2024,8/12/2024
61,Topailore,14.16,EC,Specific,Carry out pre-placement and periodical medical examination of workers,Pre-placement medical examination and periodical medical examination of the workers engaged in the project shall be carried out and records maintained.,pdf,23,2,0,Gua,Iron Ore Mine,Vinay,Anshul,Approval Pending,10/20/2024,10/20/2024,11/15/2024,,12/31/2027,12/31/2027
